,battery,year,month,brand,model,weight,CPU model,CPU freq,CPU cores,SIM cards,ROM,RAM,screen size,resolution,screen material,front camera,rear camera,rear camera specs,charging port,price,comments
50633925625,4500,2019年,7月,vivo,iQOO Neo,198.5,,,,2个,,,,,AMOLED,,,,Type-C,['1898.00'],1.5万+
30541887693,,,,,,,,,,,,,,,,,,,,['138.00'],1.5万+
100003923771,1050,2018年,以官网信息为准,飞利浦（Philips）,飞利浦（Philips）E151Y,130,其他,,,1个,,,1.8英寸,240×320,TFT,,后置单摄,,Micro USB,['168.00'],1.5万+
37049701952,2680,2018年,以官网信息为准,,EN8 plus,118,,,,2个,,,,,其他,,,,Micro USB,['89.00'],1.5万+
100007617010,1000,2019年,8月,飞利浦（Philips）,E109C,75,其他,,,1个,,,1.77英寸,128X160,TFT,,无后置摄像头,,Micro USB,['169.00'],1.5万+
100009768864,,,,,,,,,,,,,,,,,,,,['119.00'],1.4万+
100009480378,,,,,,,,,,,,,,,,,,,,['89.00'],1.4万+
100007256030,4000,2019年,8月,努比亚（nubia）,努比亚Z20,186,骁龙855plus,,,2个,,,6.42英寸,1080*2340,AMOLED,,后置三摄,,Type-C,['2999.00'],1.4万+
100009177412,4000mAh (典型值),2019年,11月,华为（HUAWEI）,华为畅享 10S,约163g,麒麟710F,,,2个,,,6.3英寸,FHD+ 2400X1080,OLED,,后置三摄,,Type-C,['1399.00'],1.5万+
55370143413,3110,2019年,9月,Apple,iPhone 11,194,其他,,,2个,,,其他英寸,以官网信息为准,LCD,,其他,,Lightning（iPhone）,['5159.00'],1.4万+
45188355452,3400mAh（典型值） 3320mAh（最小值）,2019年,4月,,以官网信息为准,约164克（含电池,,,,其他,,,,,其他,,,,Micro USB,['999.60'],1.4万+
100004472594,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,128GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['5487.00'],1.4万+
100001768443,800,2018年,12月,纽曼（Newman）,纽曼V1+,90,其他,,,1个,,,1.8英寸,240*320,其他,,无后置摄像头,,Micro USB,['108.00'],1.4万+
47778453675,4000,2017年,4月,,S3,168,,,,2个,,,,,其他,,,,Micro USB,['99.00'],1.3万+
40784838666,,,,,,,,,,,,,,,,,,,,['618.00'],1.4万+
44019324194,,,,,,,,,,,,,,,,,,,,['4488.00'],1.3万+
6425157,1400,2018年,1月,飞利浦（Philips）,飞利浦 E171L,111.5,其他,,,2个,,,2.4英寸,320×240,TFT,,后置单摄,,Micro USB,['168.00'],1.3万+
51924606168,4000,2019年,3月,vivo,X27,188.3,,,,2个,,,,,AMOLED,,,,Type-C,['2498.00'],1.3万+
100008531822,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,2个,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,['1599.00'],1.3万+
4526057,,,,,,,,,,,,,,,,,,,,['99.00'],4.5万+
44123850696,,,,,,,,,,,,,,,,,,,,['4478.00'],1.3万+
8396457,1050mAh,2018年,7月,飞利浦（Philips）,E163K,83,其他,,,2个,,,1.77英寸,240×320以下,TFT,,后置单摄,,Micro USB,['119.00'],1.3万+
39215375204,4000mAh,2018年,10月,,畅享9plus,约173g(含电池),,,,2个,,,,,TFT,,,,Micro USB,['1258.00'],1.3万+
100010900436,,,,,,,,,,,,,,,,,,,,[],1.4万+
18109533850,3340mAh（典型容量）,2017年,10月,华为（HUAWEI）,其他,约165g(含电池),,,,2个,,,,,其他,,,,Micro USB,['849.00'],1.3万+
27490512883,1300,2018年,4月,酷派（Coolpad）,酷派S618,100,,,,1个,,,,,其他,,,,Micro USB,['129.00'],1.3万+
100009083140,5000,2019年,9月,努比亚（nubia）,努比亚红魔3S,215,骁龙855plus,,,2个,,,6.65英寸,2340×1080,AMOLED,,后置单摄,,Type-C,['2999.00'],1.3万+
43139484141,4000（typ）/ 3900（min）,2019年,3月,小米（MI）,红米Note7 Pro,186,,,,2个,,,,,其他,,,,Type-C,['1048.00'],1.3万+
100006345576,,,,,,,,,,,,,,,,,,,,['399.00'],1.2万+
28640992709,3020mAh(典型值）,2018年,以官网信息为准,华为（HUAWEI）,华为畅享8e青春,约142g(含电池),,,,2个,,,,,其他,,,,Micro USB,['439.00'],1.3万+
100000481313,以官网信息为准,2018年,9月,Apple,,208,其他,其他,其他,2个,512GB,其他,6.5英寸,2688*1242,OLED,700万像素,2个,双1200万像素,Lightning（iPhone）,['13198.00'],1.2万+
100000080103,1200,2019年,以官网信息为准,天语（K-Touch）,天语,200,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['179.00'],1.2万+
31984967247,3750mAh（典型值） 3650mAh（额定值）,2018年,9月,华为（HUAWEI）,荣耀8x,约175克,,,,2个,,,,,IPS,,,,Micro USB,['1299.00'],1.2万+
100005477573,,,,,,,,,,,,,,,,,,,,['1258.00'],1.2万+
100004845601,4880mAh(额定值)，5000mAh(典型值),2019年,9月,OPPO,OPPO A11x,约195g,骁龙665,,,2个,,,6.5英寸,1600*720,TFT LCD（IPS）,,后置四摄,,Type-C,['1799.00'],1.2万+
100004472578,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,512GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['6887.00'],1.2万+
45850490644,,,,,,,,,,,,,,,,,,,,['579.00'],1.2万+
44125207975,3650mAh（典型值）,2019年,4月,华为（HUAWEI）,华为p30,约165克（含电池）,,,,2个,,,,,OLED,,,,Type-C,['3688.00'],1.2万+
100009759746,4200mAh（典型值） 备注：电池额定容量为 4100mAh（额定值）,2019年,7月,华为（HUAWEI）,HUAWEI Mate 20 X (5G),约233克（含电池） 温馨提示：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟980,,,2个,,,7.2英寸,FHD+ 1080x2244 像素,OLED,,后置三摄,,Type-C,['6199.00'],1.2万+
7435202,3500,2018年,6月,黑莓（BlackBerry）,BlackBerry KEY2,168,骁龙660,,,2个,,,4.5英寸,1620*1080,IPS,,后置双摄,,Type-C,['3749.00'],1.2万+
100009292486,3500mAh（典型值）,2019年,6月,华为（HUAWEI）,华为nova 5 Pro,约171克（含电池）,麒麟980,,,2个,,,6.39英寸,FHD+  2340 x 1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,['3199.00'],1.2万+
100003487505,1400,2019年,4月,中兴（ZTE）,中兴（ZTE）K2,100,其他,,,2个,,,2.4英寸,320*240,其他,,后置单摄,,Mini USB,['168.00'],1.2万+
100000766331,1200,2019年,以官网信息为准,天语（K-Touch）,天语,200,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['199.00'],1.2万+
43294662407,3340mAh（典型值）,2019年,3月,华为（HUAWEI）,华为nova4e,约159克（含电池）,,,,2个,,,,,其他,,,,Type-C,['1249.00'],1.2万+
100006564972,,,,,,,,,,,,,,,,,,,,['139.00'],1.2万+
39167157921,4000mAh（典型值） 3900mAh（最小值）,2018年,12月,华为（HUAWEI）,荣耀v20,约180g,麒麟980,,,2个,,,6.4英寸,FHD+ 1080 x 2310 ,IPS,,后置双摄,,Type-C,['1939.00'],1.2万+
57004994625,以官网信息为准,2016年,9月,苹果（Apple）,7plus,188,,,,1个,,,,,其他,,,,Lightning（iPhone）,['3388.00'],1.2万+
100009759756,,,,,,,,,,,,,,,,,,,,['1199.00'],1.2万+
33273233672,3350（typ）/ 3250 ( min ),2018年,9月,小米（MI）,小米8青春版,169,其他,,,2个,,,其他英寸,其他,其他,,其他,,Type-C,['1018.00'],1.1万+
27292874426,800,2017年,9月,,r9,70,,,,2个,,,,,OLED,,,,Micro USB,['188.00'],1.1万+
100005338563,4035,2019年,9月,realme,realme Q,184,骁龙712,,,2个,,,6.3英寸,2340×1080,LTPS,,后置四摄,,Type-C,['1598.00'],1.1万+
100008037472,,,,,,,,,,,,,,,,,,,,['1598.00'],1.1万+
43757723071,,,,,,,,,,,,,,,,,,,,['769.00'],1.1万+
62604919965,,,,,,,,,,,,,,,,,,,,['4898.00'],1.1万+
11267240065,2080,2018年,以官网信息为准,纽曼（Newman）,产品名称,158,其他,,,其他,,,2.8英寸,320x240,其他,,后置单摄,,其它接口,['368.00'],1.1万+
12994519425,1200,2017年,5月,索爱,T618 移动/联通老人机 直板按键老人手机 语音,125,其他,,,2个,,,2.4英寸,240*320,其他,,后置单摄,,Micro USB,['158.00'],1.1万+
100001075211,5000,2018年,10月,纽曼（Newman）,688,200,其他,,,2个,,,2.4英寸,其他,其他,,后置单摄,,其它接口,['269.00'],1.1万+
15232845904,,,,,,,,,,,,,,,,,,,,['129.00'],1.1万+
8717362,1050,2018年,8月,飞利浦（Philips）,E258S,99,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['159.00'],1.1万+
53921039284,4000mAh（典型值） 3900mAh（最小值）,2019年,9月,,荣耀Play3,以官网信息为准,其他,,,2个,,,其他英寸,以官网信息为准,TFT LCD（IPS）,,其他,,Micro USB,['809.60'],1.2万+
100006155166,1700mAh,2019年,6月,,守护宝 K199,118,其他,,,2个,,,2.8英寸,240*320,TFT,,后置单摄,,Micro USB,['399.00'],1.1万+
100005135335,3600,2019年,以官网信息为准,纽曼（Newman）,纽曼N99,180,其他,,,2个,,,2.4英寸,230*320,其他,,后置单摄,,Micro USB,['119.00'],1.1万+
100004706504,3400,2019年,4月,小辣椒,红辣椒8X,182.5,mt6763,,,2个,,,6.2英寸,1520x720,TFT,,后置双摄,,Micro USB,['599.00'],1.1万+
26258743639,1500,2018年,2月,,F9c,152,,,,1个,,,,,TFT,,,,Micro USB,['228.00'],1.1万+
50074585244,3500mAh（典型值）,2019年,6月,华为（HUAWEI）,华为nova5pro,约171克（含电池）,,,,2个,,,,,OLED,,,,Type-C,['2499.00'],1.1万+
100005162048,1020mAh,2019年,2月,诺基亚（NOKIA）,Nokia 210,85,MT6260A,,,2个,,,2.4英寸,240x320,TFT,,后置单摄,,Micro USB,['269.00'],1.1万+
10666474047,,,,,,,,,,,,,,,,,,,,['2688.00'],1.1万+
33278500565,4230mAh（典型值）,2018年,7月,OPPO,A5,168,,,,2个,,,,,TFT,,,,Micro USB,['1299.00'],1.1万+
100009173626,6000,2019年,10月,, 三星 Galaxy M30s（SM-M3070） 绚丽U视屏手机6GB+128GB ,188,Exynos 9611,,,2个,,,6.4英寸,2340*1080,Super Amoled,,后置三摄,,Type-C,['1699.00'],1.1万+
100005413821,4000mAh(typ) / 3900mAh(min) ,2019年,9月,,小米9 Pro5G,196g,骁龙855plus,,,2个,,,6.39英寸,2340 x 1080,AMOLED,,后置三摄,,Type-C,['3799.00'],1.1万+
34656638512,0,2018年,10月,,华为mate20,0,,,,2个,,,,,TFT,,,,Type-C,['2429.00'],1万+
50384986932,3500mAh（典型值）,2019年,6月,,nova5 Pro,约171克（含电池）,,,,2个,,,,,OLED,,,,Type-C,['2499.00'],1万+
100006222854,4000,2019年,7月,联想（lenovo）,联想Z6,159,骁龙730,,,2个,,,6.39英寸,2340*1080,OLED,,后置三摄,,Type-C,['1199.00'],1.2万+
43616090726,3900-4000以官网信息为准,2019年,3月,小米（MI）,红米7,180 以官网信息为准,,,,2个,,,,,其他,,,,Micro USB,['769.00'],1万+
38918603836,800,2018年,以官网信息为准,,V1,90,,,,2个,,,,,其他,,,,Micro USB,['99.00'],1万+
56739487076,以官网信息为准,2019年,9月,,iPhone 11,194,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['5188.00'],1万+
41754761478,,,,,,,,,,,,,,,,,,,,['749.00'],1万+
33277169974,3350（typ）/ 3250 ( min ),2018年,9月,,小米8青春,169,,,,2个,,,,,其他,,,,Type-C,['1018.00'],1万+
100004472572,3650mAh（典型值）备注：电池额定容量为 3550mAh,2019年,4月,华为（HUAWEI）,,165,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,256GB,8GB,6.1英寸,2340*1080,OLED,3200万像素,3个,4000+1600+800万像素,Type-C,['4937.00'],1万+
100006166826,,,,,,,,,,,,,,,,,,,,['99.00'],1万+
21860483950,以官网信息为准,2017年,以官网信息为准,,以官网信息为准,以官网信息为准,其他,,,其他,,,其他英寸,以官网信息为准,其他,,其他,,Lightning（iPhone）,['7099.00'],1万+
54532810257,4800,2018年,2月,,老人手机,128,其他,,,2个,,,2.0英寸,596120,其他,,其他,,Micro USB,['119.00'],1万+
57800388970,其他,2019年,以官网信息为准,,iPhone 11,其他,,,,其他,,,,,其他,,,,其它接口,['5648.00'],1万+
47688874442,3950mAh （额定值）4035mAh（典型值）,2019年,6月,OPPO,OPPO Reno Z,约186g,,,,2个,,,,,AMOLED,,,,Type-C,['2199.00'],1万+
44159189554,3680mAh （额定值）：3765mAh（典型值,2019年,4月,OPPO,OPPO Reno,约185g,,,,2个,,,,,AMOLED,,,,Type-C,['2799.00'],1万+
46449080763,,,,,,,,,,,,,,,,,,,,['4299.00'],1万+
47694908045,,,,,,,,,,,,,,,,,,,,['2499.00'],1万+
24440374758,4800,2018年,3月,,海语三防老人手机,110,其他,,,2个,,,2.0英寸,596120,其他,,其他,,其它接口,['99.00'],9900+
100001768425,2000,2018年,12月,飞利浦（Philips）,E125,92,其他,,,2个,,,其他英寸,240x320以下,TFT,,后置单摄,,Micro USB,['119.00'],1万+
42663945062,3340mAh,2019年,3月,,nova4e,约159克,,,,2个,,,,,其他,,,,Type-C,['1238.00'],1万+
100008531872,,,,,,,,,,,,,,,,,,,,['1599.00'],1万+
100000384321,,,,,,,,,,,,,,,,,,,,['1249.00'],1万+
100004472586,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,256GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['5987.00'],9800+
57008874053,4230mAh（典型值）,2018年,7月,OPPO,OPPO A5,168g,,,,2个,,,,,TFT,,,,Micro USB,['1199.00'],9600+
27226747742,4230,2018年,4月,OPPO,OPPOA5,159g,,,,2个,,,,,TFT,,,,Micro USB,['1199.00'],9700+
40468792100,4230,2018年,4月,OPPO,A5,143,其他,,,2个,,,6.2英寸,1520*720,TFT,,后置双摄,,Micro USB,['699.00'],9700+
29922005318, 4230mAh,2018年,7月,OPPO,OPPO A5,168,其他,,,2个,,,6.2英寸,1520*720,其他,,后置双摄,,Micro USB,['1199.00'],9700+
56685429502,,,,,,,,,,,,,,,,,,,,['959.00'],9600+
51446629929,,,,,,,,,,,,,,,,,,,,['1799.00'],9700+
6161914,1000,2018年,以官网信息为准,天语（K-Touch）,T91C,84,其他,,,1个,,,2.4英寸,320*240,TFT,,后置单摄,,Micro USB,['209.00'],9600+
37348371908,3400mAh（典型值）,2018年,以官网信息为准,,以官网信息为准,以官网信息为准,其他,,,其他,,,其他英寸,以官网信息为准,其他,,其他,,Micro USB,['876.00'],9600+
100005158161,5000mAh(典型值),2019年,10月,OPPO,A11,约195g,骁龙665,,,2个,,,6.5英寸,1600*720,TFT LCD（IPS）,,后置四摄,,Type-C,['1299.00'],1万+
8484451,,,,,,,,,,,,,,,,,,,,['899.00'],9400+
61384807874,3765mAh（典型值）3680mAh（额定值）,2019年,5月,OPPO,OPPO K3,191,骁龙710,,,2个,,,6.5英寸,2340x1080,AMOLED,,后置双摄,,Type-C,['1999.00'],9300+
48573275217,3300mAh(典型值),2019年,2月,小米（MI）,小米9,173g,,,,2个,,,,,其他,,,,Type-C,['2559.00'],9500+
44946742970,,,,,,,,,,,,,,,,,,,,['999.80'],9400+
50553927840,4000mAh（典型值）,2019年,6月,华为（HUAWEI）,nova5i,178,,,,2个,,,,,其他,,,,Type-C,['1999.00'],9300+
100002539260,1050,2018年,以官网信息为准,飞利浦（Philips）,飞利浦（Philips）E218L,120,其他,,,2个,,,2.4英寸,240×320,TFT,,后置单摄,,Mini USB,['279.00'],9300+
35296142476,,,,,,,,,,,,,,,,,,,,['158.00'],9100+
100002399528,,,,,,,,,,,,,,,,,,,,['119.00'],9200+
10673889493,2910,2016年,以官网信息为准,苹果（Apple）,苹果7plus,188,,,,1个,,,,,其他,,,,Lightning（iPhone）,['3528.00'],9100+
33278478728,3350mAh,2018年,9月,小米（MI）,小米8青春版,169,骁龙660（AIE）,,,2个,,,6.26英寸,683880,其他,,后置双摄,,Type-C,['1018.00'],9100+
56606115320,,,,,,,,,,,,,,,,,,,,['6858.00'],9100+
6035574,1200,2018年,以官网信息为准,其他,纽曼F6,160,其他,,,2个,,,2.8英寸,240*320,其他,,后置单摄,,其它接口,['139.00'],9200+
6020635,3600,2018年,以官网信息为准,其他,纽曼C18,220,其他,,,1个,,,2.4英寸,240*320,其他,,后置单摄,,其它接口,['149.00'],9100+
100004472610,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,512GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['6887.00'],9000+
100005476701,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,P30 Pro,192,麒麟980,,,2个,,,6.47英寸,FHD+ 2340*1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,['6288.00'],9000+
57081732772,,,,,,,,,,,,,,,,,,,,['1199.00'],9000+
40467128408,,,,,,,,,,,,,,,,,,,,['699.00'],9000+
40144008008,4230mAh（典型值）,2018年,12月,OPPO,A5,168g,,,,2个,,,,,TFT,,,,Micro USB,['699.00'],9000+
32943442155,以官网信息为准,2018年,10月,,iPhone XR,194,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['4898.00'],9000+
26594477376,4230mAh,2018年,7月,OPPO,A5,168g,,,,2个,,,,,TFT,,,,Micro USB,['1299.00'],9000+
56648702661,,,,,,,,,,,,,,,,,,,,['5658.00'],9200+
1144627862,3000,2017年,2月,誉品,N105,158,,,,2个,,,,,TFT,,,,Micro USB,['99.00'],8900+
17968350354,1200mAh,2017年,10月,索爱,,125,其他,其他,其他,1个,其他,其他,2.4英寸,240*320,其他,无,1个,30万像素,Micro USB,['169.00'],8800+
100006001491,4100mAh（典型值） 4000mAh（额定值）,2019年,11月,华为（HUAWEI）,荣耀V30PRO,约206克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 990 5G(麒麟990 5G),,,2个,,,6.57英寸,FHD+ 2400×1080像素,TFT LCD（IPS）,,后置三摄,,Type-C,['4298.00'],9500+
14867612545,4000,2017年,8月,小辣椒,,135,其他,260,单核,2个,其他,其他,2.4英寸,240*320,其他,无,1个,30万像素,Micro USB,['139.00'],8700+
44125750190,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,华为p30pro,192,,,,2个,,,,,OLED,,,,Type-C,['4488.00'],8800+
100004950071,4085,2019年,10月,,一加7T Pro,206,骁龙855plus,,,2个,,,6.67英寸,3120*1440,AMOLED,,后置三摄,,Type-C,['5299.00'],8900+
16640326003,800,2016年,以官网信息为准,诺基亚（NOKIA）,105,69.6（以官方信息为准）,,,,1个,,,,,其他,,,,Micro USB,['139.00'],8500+
100005792798,,,,,,,,,,,,,,,,,,,,['779.00'],8600+
59410262680,4500,2019年,10月,vivo,iQOO Neo855版,198.5,,,,2个,,,,,AMOLED,,,,Type-C,['1998.00'],8600+
40435356558,4000mAh（典型值）,2018年,12月,华为（HUAWEI）,荣耀v20,约180克,其他,,,2个,,,其他英寸,以官网信息为准,IPS,,其他,,Type-C,['1928.00'],8600+
100005745782,3765,2019年,5月,realme,realme X,191,骁龙710,,,2个,,,6.53英寸,2340*1080,AMOLED,,后置双摄,,Type-C,['1399.00'],8600+
44127885277,,,,,,,,,,,,,,,,,,,,['4488.00'],8500+
43769837880,3650mAh（典型值） ,2019年,4月,华为（HUAWEI）,华为P30,约165克,,,,2个,,,,,其他,,,,Type-C,['3688.00'],8400+
100001768501,1600,2018年,12月,飞利浦（Philips）,,110,其他,其他,其他,2个,其他,其他,2.4英寸,240*320,TFT,无,1个,30万像素,Micro USB,['159.00'],8400+
31627316952,800,2018年,8月,其他,不羁,65,其他,,,1个,,,1.8英寸,240*320,其他,,无后置摄像头,,其它接口,['79.00'],8400+
34531993977,,,,,,,,,,,,,,,,,,,,['699.00'],8400+
43297794765,3340mAh（典型值）,2019年,3月,,华为nova4e,约159克（含电池）,其他,,,2个,,,其他英寸,2312*1080,LTPS,,其他,,Type-C,['1168.00'],8500+
51019119919,3500mAh（典型值）,2019年,6月,,nova5pro,约171克,,,,2个,,,,,OLED,,,,Type-C,['2499.00'],8400+
39286052442,4000mAh（典型值）,2018年,12月,华为（HUAWEI）,华为畅享9,约168克（含电池）,,,,2个,,,,,TFT,,,,Micro USB,['818.00'],8200+
100008037474,,,,,,,,,,,,,,,,,,,,['1598.00'],8100+
57100444489,5000,2019年,10月,小米（MI）,红米8A,188,,,,2个,,,,,其他,,,,Type-C,['686.00'],8600+
51119907174,3020,2018年,5月,,荣耀 畅玩7,约142g(含电池),,,,2个,,,,,IPS,,,,Micro USB,['418.00'],8100+
60171303661,3915mAh （额定值）4000mAh（典型值）,2019年,10月,OPPO,RENO 2,189,,,,2个,,,,,AMOLED,,,,Type-C,['2999.00'],8100+
26130378340,,,,,,,,,,,,,,,,,,,,['119.00'],8000+
34871707227,3400mAh（典型值）,2018年,11月,,荣耀10,约162克,麒麟710,,,2个,,,6.21英寸,其他,其他,,后置双摄,,Micro USB,['875.00'],8000+
45492101203,3400mAh（典型值） 3320mAh（最小值）,2019年,4月,华为（HUAWEI）,荣耀20i,约164克,,,,2个,,,,,IPS,,,,Micro USB,['1009.00'],8100+
100003837718,3200(typ)/3100(min),2019年,3月,中兴（ZTE）,中兴 ZTE Blade V10,154,MT6771T,,,2个,,,6.3英寸,2280*1080,TFT,,后置双摄,,Type-C,['999.00'],8200+
54306684775,3020mAh（典型值）,2019年,3月,华为（HUAWEI）,华为畅享9e,约150克（含电池）,,,,2个,,,,,TFT LCD（IPS）,,,,Micro USB,['749.00'],7800+
44943583778,,,,,,,,,,,,,,,,,,,,['999.00'],7900+
10323597683,1300,2017年,4月,海尔（Haier）,HM- M360,118,,,,2个,,,,,TFT,,,,Micro USB,['178.00'],7800+
33277164393,0,2018年,9月,OPPO,A5,0,,,,2个,,,,,TFT,,,,Micro USB,['999.00'],7700+
26720607794,4000,2018年,10月,华为（HUAWEI）,畅享plus,约173g(含电池) ,,,,2个,,,,,TFT,,,,Micro USB,['1188.00'],7700+
30988216523,4000mAh（典型值）,2018年,10月,华为（HUAWEI）,畅享9plus,约173g,麒麟710,,,2个,,,6.53英寸,以官网为准,TFT,,后置双摄,,Micro USB,['1198.00'],7600+
54069288164,,,,,,,,,,,,,,,,,,,,['69.00'],7600+
59080455595,,,,,,,,,,,,,,,,,,,,['5699.00'],7600+
27458443487,4800,2018年,2月,,,110,其他,其他,其他,2个,其他,其他,2.0英寸,其他,其他,无,1个,30万像素,其他,['68.00'],7600+
100010547822,4200mAh（典型值）,2019年,12月,,nova 6 SE,约183g,麒麟810,,,2个,,,6.4英寸,2310 * 1080,LTPS,,后置四摄,,Type-C,['2199.00'],1万+
56647206430,,,,,,,,,,,,,,,,,,,,['5678.00'],7900+
60378912086,3920mAh （额定值），4000mAh（典型值,2019年,10月,OPPO,K5,182,,,,2个,,,,,AMOLED,,,,Type-C,['1799.00'],7500+
44037826021,4000（typ）*/ 3900（min）,2019年,3月,小米（MI）,红米7,180,,,,2个,,,,,其他,,,,Micro USB,['769.00'],7500+
53138611298,4000mAh（典型值）,2019年,7月,华为（HUAWEI）,荣耀9x,206g,,,,2个,,,,,LTPS,,,,Type-C,['1099.00'],7500+
20176890446,4000,2017年,10月,,华为mate10,约186g（含电池）,,,,2个,,,,,TFT,,,,Type-C,['1599.00'],7500+
40854489483,3020mAh（典型值）,2019年,1月,,荣耀畅玩8A,约150克（含电池）,,,,2个,,,,,其他,,,,Micro USB,['584.00'],7500+
57527445546,3920mAh （额定值），4000mAh（典型值,2019年,10月,OPPO,OPPO K5,约182g,骁龙730G,,,2个,,,6.4英寸,2340*1080,AMOLED,,后置四摄,,Type-C,['1799.00'],7900+
30794081171,800mAh,2017年,8月,诺基亚（NOKIA）,新105,73,其他,,,其他,,,1.8英寸,其他,其他,,无后置摄像头,,Micro USB,['139.00'],7400+
59673467085,,,,,,,,,,,,,,,,,,,,['1999.00'],7800+
46165085517,,,,,,,,,,,,,,,,,,,,['3999.00'],7400+
17462145865,2900-3000以官方信息为准,2018年,6月,小米（MI）,红米 6A,145    以官网信息为准,,,,2个,,,,,其他,,,,Micro USB,['569.00'],7200+
37364777942,3400,2018年,11月,华为（HUAWEI）,荣耀10青春,162,,,,2个,,,,,其他,,,,Micro USB,['999.00'],7200+
45483312639,3020mAh（典型值）,2019年,3月,华为（HUAWEI）,畅享9e 全网通4G,约150克（含电池）,,,,2个,,,,,TFT LCD（IPS）,,,,Micro USB,['758.00'],7200+
7649465,,,,,,,,,,,,,,,,,,,,['599.00'],7200+
35501118481,3020,2018年,5月,华为（HUAWEI）,荣耀畅玩7,约142(含电池),,,,2个,,,,,IPS,,,,Micro USB,['438.90'],7200+
55231965959,3000,2017年,2月,誉品,2017,158,其他,,,2个,,,2.4英寸,596118,TFT,,后置单摄,,Micro USB,['99.00'],7100+
48824458687,3950mAh （额定值） 4035mAh（典型值,2019年,5月,OPPO,Reno Z,约186,,,,2个,,,,,AMOLED,,,,Type-C,['2199.00'],7100+
48895966123,,,,,,,,,,,,,,,,,,,,['2799.00'],7100+
44242885678,3680mAh （额定值）；3765mAh（典型值,2019年,4月,OPPO,OPPO Reno,约185g,,,,2个,,,,,AMOLED,,,,Type-C,['2799.00'],7100+
51530717443,500,2019年,3月,,H2,52,其他,,,2个,,,1.5英寸,其他,其他,,后置单摄,,Micro USB,['99.00'],7200+
45399428385,4000mAh（典型值）,2018年,10月,华为（HUAWEI）,HUAWEI Mate 20,188,,,,2个,,,,,其他,,,,Type-C,['3199.00'],7100+
100000084915,1600,2018年,7月,飞利浦（Philips）,E207L,109,其他,,,2个,,,2.0英寸,176*220,其他,,后置单摄,,其它接口,['169.00'],7000+
32777483527,2000,2017年,6月,其他,朵唯,以官网消息为准,,,,其他,,,,,其他,,,,其它接口,['199.00'],7000+
56649697467,以官网信息为准,2019年,9月,,iPhone 11,194,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['5189.00'],7000+
34009119653,3000mAh（典型容量）,2018年,3月,华为（HUAWEI）,荣耀畅玩7C,约164g(含电池),,,,2个,,,,,IPS,,,,Micro USB,['849.00'],6900+
43216397036,3340mAh（典型值）,2019年,3月,华为（HUAWEI）,华为nova4e手机全网通,约159克（含电池）,,,,2个,,,,,其他,,,,Type-C,['1299.00'],6900+
31942713664,,,,,,,,,,,,,,,,,,,,['1219.00'],6900+
6035572,,,,,,,,,,,,,,,,,,,,['139.00'],7000+
57009255259,4000mAh（typ）,2019年,3月,小米（MI）,红米NOTE7PRO,186,,,,2个,,,,,其他,,,,Type-C,['1078.00'],6800+
